slot,case_id,deal,stratum,role,matched_to,gate_status,cik,form,filing_date,accession,sic,sic_desc,size_usd,deal_value_usd,parent_cik,signal
26,P026,"Babcock & Wilcox Enterprises, Inc.  (BW, BWNB, BWSN, BW-PA)  (CIK 0001630805)",carve_out,gap_prone,,PASS,1630805,10-12B,2015-06-09,0001193125-15-216714,3433,"Heating Equipment, Except Electric & Warm Air Furnaces",1663045000,,,"""distribution ratio"" ""separation agreement"""
27,P027,EchoStar Holding CORP  (SATS)  (CIK 0001415404),carve_out,gap_prone,,PASS,1415404,10-12B,2007-12-12,0001035704-07-000816,4899,"Communications Services, NEC",3468068000,,,"""distribution ratio"" ""separation agreement"""
28,P028,"Keysight Technologies, Inc.  (KEYS)  (CIK 0001601046)",carve_out,gap_prone,,PASS,1601046,10-12B,2014-09-22,0001047469-14-007795,3823,"Industrial Instruments For Measurement, Display, and Control",3029000000,,,"""distribution ratio"" ""separation agreement"""
29,P029,Delphi Jersey Holdings plc  (CIK 0001707092),carve_out,gap_prone,,PASS,1707092,10-12B,2017-09-07,0001193125-17-279255,3714,Motor Vehicle Parts & Accessories,3793000000,,,"""distribution ratio"" ""separation agreement"""
30,P030,Patriot Coal CORP  (CIK 0001376812),carve_out,gap_prone,,PASS,1376812,10-12B,2007-08-20,0000950137-07-012653,1220,Silver Ores,3618163000,,,"""distribution ratio"" ""separation agreement"""
31,P031,PARAGON OFFSHORE LTD.  (CIK 0001594590),carve_out,gap_prone,,PASS,1594590,10-12B,2014-07-14,0001193125-14-266775,1381,Drilling Oil & Gas Wells,3253389000,,,"""distribution ratio"" ""separation agreement"""
32,P032,"Lamb Weston Holdings, Inc.  (LW)  (CIK 0001679273)",carve_out,gap_prone,,PASS,1679273,10-12B,2016-08-26,0001193125-16-693702,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2400200000,,,"""distribution ratio"" ""separation agreement"""
33,P033,AbbVie Inc.  (ABBV)  (CIK 0001551152),carve_out,gap_prone,,PASS,1551152,10-12B,2012-11-30,0001047469-12-010903,2834,Pharmaceutical Preparations,27008000000,,,"""distribution ratio"" ""separation agreement"""
34,P034,"California Resources Corp  (CRC, CRCQW)  (CIK 0001609253)",carve_out,gap_prone,,PASS,1609253,10-12B,2014-08-20,0001047469-14-007128,1311,Crude Petroleum & Natural Gas,12429000000,,,"""distribution ratio"" ""separation agreement"""
35,P035,"PNK Entertainment, Inc.  (CIK 0001656239)",carve_out,gap_prone,,PASS,1656239,10-12B,2015-12-22,0001193125-15-410962,7011,Hotels & Motels,4530911000,,,"""distribution ratio"" ""separation agreement"""
36,P036,CHESAPEAKE OILFIELD OPERATING LLC  (CIK 0001532930),carve_out,gap_prone,,PASS,1532930,10-12B,2014-06-13,0001193125-14-236450,1389,"Oil & Gas Field Services, NEC",2290293000,,,"""distribution ratio"" ""separation agreement"""
37,P037,Chemours Co  (CC)  (CIK 0001627223),carve_out,gap_prone,,PASS,1627223,10-12B,2015-05-13,0001193125-15-186063,2800,Chemicals & Allied Products,6298000000,,,"""distribution ratio"" ""separation agreement"""
38,P038,"Motorola Mobility Holdings, Inc  (CIK 0001495569)",carve_out,gap_prone,,PASS,1495569,10-12B,2010-10-08,0001193125-10-226923,3663,Radio & Tv Broadcasting & Communications Equipment,6204000000,,,"""distribution ratio"" ""separation agreement"""
39,P039,Exterran Corp  (CIK 0001635881),carve_out,gap_prone,,PASS,1635881,10-12B,2015-07-09,0001047469-15-006019,7359,"Services-Equipment Rental & Leasing, NEC",1788396000,,,"""distribution ratio"" ""separation agreement"""
40,P040,Time Inc.  (CIK 0001591517),carve_out,gap_prone,,PASS,1591517,10-12B,2014-03-07,0001193125-14-089381,2721,Periodicals: Publishing or  Publishing & Printing,5896000000,,,"""distribution ratio"" ""separation agreement"""
41,P041,"ONE Gas, Inc.  (OGS)  (CIK 0001587732)",carve_out,gap_prone,,PASS,1587732,10-12B,2013-11-21,0001193125-13-448833,4924,Natural Gas Distribution,3846475000,,,"""distribution ratio"" ""separation agreement"""
42,P042,Varex Imaging Corp  (VREX)  (CIK 0001681622),carve_out,gap_prone,,PASS,1681622,10-12B,2017-01-12,0001193125-17-008082,3679,"Electronic Components, NEC",1020100000,,,"""distribution ratio"" ""separation agreement"""
43,P043,Phillips 66  (PSX)  (CIK 0001534701),carve_out,gap_prone,,PASS,1534701,10-12B,2012-03-01,0001193125-12-091773,2911,Petroleum Refining,48073000000,,,"""distribution ratio"" ""separation agreement"""
44,P044,Rayonier Holding Co  (RYAM)  (CIK 0001597672),carve_out,gap_prone,,PASS,1597672,10-12B,2014-01-29,0001193125-14-025522,2611,Pulp Mills,1303880000,,,"""distribution ratio"" ""separation agreement"""
45,P045,PARKER HANNIFIN CORP  (PH)  (CIK 0000076334),joint_venture,gap_prone,,PASS,76334,8-K,2014-01-22,0000076334-14-000005,3490,Miscellaneous Fabricated Metal Products,12568399000,,,"""joint venture agreement"""
46,P046,SWIFT ENERGY CO  (CIK 0000351817),joint_venture,gap_prone,,PASS,351817,10-K,2011-02-24,0000351817-11-000012,1311,Crude Petroleum & Natural Gas,2216437000,,,"""joint venture agreement"""
47,P047,"Inland American Real Estate Trust, Inc.  (IVT)  (CIK 0001307748)",joint_venture,gap_prone,,PASS,1307748,8-K,2009-05-29,0001104659-09-035874,6798,Real Estate Investment Trusts,11391502000,,,"""joint venture agreement"""
48,P048,COLUMBIA SPORTSWEAR CO  (COLM)  (CIK 0001050797),joint_venture,gap_prone,,PASS,1050797,8-K,2012-08-08,0001193125-12-343820,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,1458842000,,,"""joint venture agreement"""
49,P049,GOODYEAR TIRE & RUBBER CO /OH/  (GT)  (CIK 0000042582),joint_venture,gap_prone,,PASS,42582,10-K,2008-02-14,0000950152-08-001092,3011,Tires & Inner Tubes,14410000000,,,"""joint venture agreement"""
50,P050,SunEdison Semiconductor Ltd  (CIK 0001585854),joint_venture,gap_prone,,PASS,1585854,8-K,2014-06-02,0001193125-14-222549,3674,Semiconductors & Related Devices,1175800000,,,"""joint venture agreement"""
51,P051,POLARIS INDUSTRIES INC/MN  (PII)  (CIK 0000931015),joint_venture,gap_prone,,PASS,931015,8-K,2011-03-01,0000950123-11-020591,3790,Miscellaneous Transportation Equipment,1228024000,,,"""joint venture agreement"""
52,P052,"MOLSON COORS BREWING CO  (TAP, TAP-A)  (CIK 0000024545)",joint_venture,gap_prone,,PASS,24545,8-K,2007-12-21,0001104659-07-090365,2082,Malt Beverages,10386600000,,,"""joint venture agreement"""
53,P053,REX ENERGY CORP  (CIK 0001397516),joint_venture,gap_prone,,PASS,1397516,8-K,2015-04-02,0001193125-15-117866,1311,Crude Petroleum & Natural Gas,1071931000,,,"""joint venture agreement"""
54,P054,MICRON TECHNOLOGY INC  (MU)  (CIK 0000723125),joint_venture,gap_prone,,PASS,723125,8-K,2008-11-26,0000723125-08-000116,3674,Semiconductors & Related Devices,11726000000,,,"""joint venture agreement"""
55,P055,Owens Corning  (OC)  (CIK 0001370946),joint_venture,gap_prone,,PASS,1370946,8-K,2007-02-21,0001193125-07-035988,3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",7167000000,,,"""joint venture agreement"""
56,P056,CENTRAL EUROPEAN DISTRIBUTION CORP  (CIK 0001046880),joint_venture,gap_prone,,PASS,1046880,8-K,2008-05-30,0001193125-08-125713,5180,"Wholesale-Beer, Wine & Distilled Alcoholic Beverages",4439100000,,,"""joint venture agreement"""
57,P057,ALTABA INC.  (CIK 0001011006),joint_venture,gap_prone,,PASS,1011006,8-K,2018-07-10,0001193125-18-214960,,,48083079000,,,"""joint venture agreement"""
58,P058,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",joint_venture,gap_prone,,PASS,719413,8-K,2008-11-10,0000897101-08-002254,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1046784000,,,"""joint venture agreement"""
59,P059,COSTCO WHOLESALE CORP /NEW  (COST)  (CIK 0000909832),joint_venture,gap_prone,,PASS,909832,10-K,2011-10-14,0001193125-11-271844,5331,Retail-Variety Stores,28004000000,,,"""joint venture agreement"""
60,P060,RADIOSHACK CORP  (CIK 0000096289),joint_venture,gap_prone,,PASS,96289,10-K,2013-02-26,0000096289-13-000010,5731,"Retail-Radio, Tv & Consumer Electronics Stores",1591200000,,,"""joint venture agreement"""
61,P061,WEIGHT WATCHERS INTERNATIONAL INC  (WW)  (CIK 0000105319),joint_venture,gap_prone,,PASS,105319,8-K,2011-04-28,0001193125-11-115257,7200,Services-Personal Services,1121628000,,,"""joint venture agreement"""
62,P062,Pattern Energy Group Inc.  (CIK 0001561660),joint_venture,gap_prone,,PASS,1561660,8-K,2017-06-19,0000950103-17-005834,4911,Electric Services,4742000000,,,"""joint venture agreement"""
63,P063,APOLLO GROUP INC  (CIK 0000929887),joint_venture,gap_prone,,PASS,929887,10-K,2009-10-27,0000950123-09-053647,8200,Services-Educational Services,3265034000,,,"""joint venture agreement"""
64,P064,SAUER DANFOSS INC  (CIK 0000865754),joint_venture,gap_prone,,PASS,865754,8-K,2012-10-31,0000865754-12-000051,3590,Misc Industrial & Commercial Machinery & Equipment,1398959000,,,"""joint venture agreement"""
65,P065,CLOUD PEAK ENERGY INC.  (CIK 0001441849),joint_venture,gap_prone,,PASS,1441849,8-K,2012-01-24,0001104659-12-003562,1221,Bituminous Coal & Lignite Surface Mining,2351323000,,,"""joint venture agreement"""
66,P066,"Parkway, Inc.  (CIK 0001677761)",joint_venture,gap_prone,,PASS,1677761,8-K,2017-04-20,0001193125-17-130778,6798,Real Estate Investment Trusts,2163895000,,,"""joint venture agreement"""
67,P067,MEMC ELECTRONIC MATERIALS INC  (CIK 0000945436),joint_venture,gap_prone,,PASS,945436,8-K,2011-02-22,0001144204-11-009955,3674,Semiconductors & Related Devices,4881600000,,,"""joint venture agreement"""
68,P068,SOTHEBYS  (CIK 0000823094),joint_venture,gap_prone,,PASS,823094,8-K,2012-10-02,0000823094-12-000016,7389,"Services-Business Services, NEC",2575095000,,,"""joint venture agreement"""
69,P069,"ENTERPRISE PRODUCTS PARTNERS L P  (EPD, EPDU)  (CIK 0001061219)",joint_venture,gap_prone,,PASS,1061219,8-K,2006-02-17,0001061219-06-000015,4922,Natural Gas Transmission,22515500000,,,"""joint venture agreement"""
70,P070,"EQUITY ONE, INC.  (CIK 0001042810)",joint_venture,gap_prone,,PASS,1042810,8-K,2011-01-07,0000950123-11-001490,6798,Real Estate Investment Trusts,3222571000,,,"""joint venture agreement"""
71,P071,PIEDMONT NATURAL GAS CO INC  (CIK 0000078460),joint_venture,gap_prone,,PASS,78460,8-K,2014-09-02,0001299933-14-001348,4924,Natural Gas Distribution,5049088000,,,"""joint venture agreement"""
72,P072,Hilton Grand Vacations Inc.  (HGV)  (CIK 0001674168),joint_venture,gap_prone,,PASS,1674168,8-K,2017-07-21,0001193125-17-232892,7000,"Hotels, Rooming Houses, Camps & Other Lodging Places",2384000000,,,"""joint venture agreement"""
73,P073,"TIDEWATER INC  (TDW, TDDWW, TDGMW, TDW-WT)  (CIK 0000098222)",joint_venture,gap_prone,,PASS,98222,8-K,2011-02-25,0001193125-11-047707,4400,Water Transportation,3877867000,,,"""joint venture agreement"""
74,P074,"MPG Office Trust, Inc.  (CIK 0001204560)",joint_venture,gap_prone,,PASS,1204560,8-K,2012-03-30,0001204560-12-000018,6798,Real Estate Investment Trusts,1466859000,,,"""joint venture agreement"""
75,P075,SKECHERS USA INC  (SKX)  (CIK 0001065837),joint_venture,gap_prone,,PASS,1065837,8-K,2010-02-04,0001299933-10-000470,3140,"Footwear, (No Rubber)",1304794000,,,"""joint venture agreement"""
76,P076,CYPRESS SEMICONDUCTOR CORP /DE/  (CIK 0000791915),joint_venture,gap_prone,,PASS,791915,8-K,2018-10-25,0001104659-18-063951,3674,Semiconductors & Related Devices,3693215000,,,"""joint venture agreement"""
77,P077,CROSSTEX ENERGY LP  (CIK 0001179060),joint_venture,gap_prone,,PASS,1179060,8-K,2011-07-12,0001104659-11-038694,4922,Natural Gas Transmission,1955331000,,,"""joint venture agreement"""
78,P078,"PHILLIPS EDISON GROCERY CENTER REIT II, INC.  (CIK 0001581405)",joint_venture,gap_prone,,PASS,1581405,8-K,2016-03-23,0001581405-16-000076,6798,Real Estate Investment Trusts,1486527000,,,"""joint venture agreement"""
79,P079,SUNPOWER CORP  (SPWRQ)  (CIK 0000867773),joint_venture,gap_prone,,PASS,867773,8-K,2010-05-27,0001193125-10-129898,3674,Semiconductors & Related Devices,3379331000,,,"""joint venture agreement"""
80,P080,CHEVRON CORP  (CVX)  (CIK 0000093410),joint_venture,gap_prone,,PASS,93410,10-K,2009-02-26,0000891618-09-000054,2911,Petroleum Refining,273005000000,,,curated:Gorgon LNG JV
81,P081,"FORD MOTOR CO  (F, F-PB, F-PC, F-PD)  (CIK 0000037996)",joint_venture,gap_prone,,PASS,37996,8-K,2012-03-15,0000037996-12-000015,3711,Motor Vehicles & Passenger Car Bodies,210945000000,,,curated:Ford China JV
82,P082,FREEPORT-MCMORAN INC  (FCX)  (CIK 0000831259),joint_venture,gap_prone,,PASS,831259,8-K,2014-11-14,0001193125-14-413217,1000,Metal Mining,64009000000,,,curated:Grasberg JV
83,P083,DOW CHEMICAL CO /DE/  (CIK 0000029915),joint_venture,gap_prone,,PASS,29915,10-K,2011-02-18,0001193125-11-040023,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",70206000000,,,curated:Sadara JV (Dow/Aramco)
84,P084,MARATHON OIL CORP  (MRO)  (CIK 0000101778),joint_venture,gap_prone,,PASS,101778,8-K,2011-05-26,0001193125-11-151791,1311,Crude Petroleum & Natural Gas,73621000000,,,curated:Marathon LNG JV
85,P085,VERIZON COMMUNICATIONS INC  (VZ)  (CIK 0000732712),joint_venture,gap_prone,,PASS,732712,8-K,2011-07-22,0001193125-11-194187,4813,Telephone Communications (No Radiotelephone),276675000000,,,curated:Verizon Wireless JV
86,P086,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",joint_venture,gap_prone,,PASS,1166691,10-K,2011-02-25,0001193125-11-047243,4841,Cable & Other Pay Television Services,164971000000,,,curated:NBCUniversal JV
87,P087,CORNING INC /NY  (GLW)  (CIK 0000024741),joint_venture,gap_prone,,PASS,24741,8-K,2012-01-31,0001299933-12-000243,3357,Drawing & Insulating of  Nonferrous Wire,30063000000,,,curated:Dow Corning JV
88,P088,CONOCOPHILLIPS  (COP)  (CIK 0001163165),joint_venture,gap_prone,,PASS,1163165,10-K,2011-02-23,0000950123-11-016957,2911,Petroleum Refining,162881000000,,,curated:Australia Pacific LNG JV
89,P089,"HEALTHCARE TRUST OF AMERICA, INC.  (HR)  (CIK 0001360604)",roll_up,gap_prone,,PASS,1360604,8-K,2014-03-11,0001360604-14-000020,6798,Real Estate Investment Trusts,3031384000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
90,P090,"SUNEDISON, INC.  (CIK 0000945436)",roll_up,gap_prone,,PASS,945436,8-K,2016-05-24,0001193125-16-600567,3674,Semiconductors & Related Devices,11500000000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
91,P091,"Inland American Real Estate Trust, Inc.  (IVT)  (CIK 0001307748)",roll_up,gap_prone,,PASS,1307748,8-K,2007-06-19,0001104659-07-048468,6798,Real Estate Investment Trusts,1058574000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
92,P092,SCHWEITZER MAUDUIT INTERNATIONAL INC  (MATV)  (CIK 0001000623),roll_up,gap_prone,,PASS,1000623,8-K,2013-11-19,0001000623-13-000116,2621,Paper Mills,1224100000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
93,P093,WELLS REAL ESTATE INVESTMENT TRUST II INC  (CIK 0001252849),roll_up,gap_prone,,PASS,1252849,10-K,2009-03-31,0001193125-09-068884,6798,Real Estate Investment Trusts,5371685000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
94,P094,"Blackstone Real Estate Income Trust, Inc.  (BSTT)  (CIK 0001662972)",roll_up,gap_prone,,PASS,1662972,8-K,2017-07-27,0001193125-17-236870,6798,Real Estate Investment Trusts,4625308000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
95,P095,"Compass Diversified Holdings  (CODI, CODI-PA, CODI-PB, CODI-PC)  (CIK 0001345126)",roll_up,gap_prone,,PASS,1345126,8-K,2018-05-02,0001345126-18-000037,2510,Household Furniture,2372335000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
96,P096,Industrial Income Trust Inc.  (CIK 0001464720),roll_up,gap_prone,,PASS,1464720,8-K,2014-03-21,0001193125-14-110223,6500,Real Estate,3627650000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
97,P097,MACK CALI REALTY CORP  (VRE)  (CIK 0000924901),roll_up,gap_prone,,PASS,924901,8-K,2016-07-29,0001104659-16-135131,6798,Real Estate Investment Trusts,4296766000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
98,P098,"PennyMac Mortgage Investment Trust  (PMT, PMTU, PMT-PA, PMT-PB, PMT-PC)  (CIK 0001464423)",roll_up,gap_prone,,PASS,1464423,8-K,2017-05-03,0001564590-17-008429,6798,Real Estate Investment Trusts,5604933000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
99,P099,"NorthStar Real Estate Income Trust, Inc.  (CIK 0001455650)",roll_up,gap_prone,,PASS,1455650,8-K,2018-02-01,0001193125-18-029391,6798,Real Estate Investment Trusts,1768480000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
100,P100,"Nexeo Solutions Holdings, LLC  (CIK 0001540047)",roll_up,gap_prone,,PASS,1540047,8-K,2016-03-21,0001104659-16-106466,5160,Wholesale-Chemicals & Allied Products,1574800000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
101,P101,Dividend Capital Diversified Property Fund Inc.  (CIK 0001327978),roll_up,gap_prone,,PASS,1327978,8-K,2016-08-30,0001327978-16-000021,6798,Real Estate Investment Trusts,1783728000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
102,P102,"COLE CREDIT PROPERTY TRUST IV, INC.  (CMRF)  (CIK 0001498547)",roll_up,gap_prone,,PASS,1498547,10-K,2013-03-29,0001498547-13-000024,6798,Real Estate Investment Trusts,2551649000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
103,P103,AOL Inc.  (CIK 0001468516),roll_up,gap_prone,,PASS,1468516,10-K,2010-03-02,0001193125-10-045310,7374,Services-Computer Processing & Data Preparation,2962300000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
104,P104,"CNO Financial Group, Inc.  (CNO, CNO-PA)  (CIK 0001224608)",roll_up,gap_prone,,PASS,1224608,8-K,2010-06-14,0001224608-10-000028,6321,Accident & Health Insurance,31394900000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
105,P105,IRON MOUNTAIN INC  (IRM)  (CIK 0001020569),roll_up,gap_prone,,PASS,1020569,8-K,2018-04-26,0001020569-18-000052,6798,Real Estate Investment Trusts,11857218000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
106,P106,"Nexeo Solutions, Inc.  (CIK 0001604416)",roll_up,gap_prone,,PASS,1604416,8-K,2016-06-09,0001104659-16-126429,5160,Wholesale-Chemicals & Allied Products,2030400000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
107,P107,INLAND REAL ESTATE CORP  (CIK 0000923284),roll_up,gap_prone,,PASS,923284,10-K,2012-02-27,0001104659-12-012808,6798,Real Estate Investment Trusts,1243405000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
108,P108,Deerfield Capital Corp.  (CIK 0001313918),roll_up,gap_prone,,PASS,1313918,8-K,2008-07-21,0001299933-08-003494,6199,Finance Services,4892822000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
