stratum,cik,company,form,filing_date,accession,sic,sic_desc,size_usd,size_metric,deal_value_usd,parent_cik,signal
roll_up,1478242,Quintiles Transnational Holdings Inc.  (IQV)  (CIK 0001478242),S-4,2016-08-11,0001193125-16-678654,8731,Services-Commercial Physical & Biological Research,23235000000,Assets,,,curated:Quintiles IMS roll-up
roll_up,1318220,"Waste Connections, Inc.  (WCN)  (CIK 0001318220)",8-K,2016-08-12,0001144204-16-118617,4953,Refuse Systems,12627329000,Assets,,,curated:Waste Connections roll-up
roll_up,1533932,"Vantiv, Inc.  (CIK 0001533932)",8-K,2017-09-11,0001193125-17-281198,7389,"Services-Business Services, NEC",28950000000,Assets,,,curated:Vantiv payments roll-up
roll_up,895655,JARDEN CORP  (CIK 0000895655),8-K,2015-12-14,0001193125-15-402097,5190,Wholesale-Miscellaneous Nondurable Goods,14293100000,Assets,,,curated:Jarden consumer roll-up
roll_up,1590714,Platform Specialty Products Corp  (ESI)  (CIK 0001590714),8-K,2015-05-12,0001171843-15-002760,2890,Miscellaneous Chemical Products,10926700000,Assets,,,curated:Platform Specialty Products buy-and-build
roll_up,1420800,Colfax CORP  (ENOV)  (CIK 0001420800),8-K,2012-02-24,0001193125-12-078080,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",7927833000,Assets,,,curated:Colfax roll-up
roll_up,882835,ROPER TECHNOLOGIES INC  (ROP)  (CIK 0000882835),8-K,2015-04-27,0000882835-15-000012,3823,"Industrial Instruments For Measurement, Display, and Control",14324927000,Assets,,,curated:Roper serial acquirer
joint_venture,24545,"MOLSON COORS BREWING CO  (TAP, TAP-A)  (CIK 0000024545)",8-K,2008-05-06,0001199073-08-000347,2082,Malt Beverages,12697600000,Assets,,,curated:MillerCoors JV
joint_venture,29915,DOW CHEMICAL CO /DE/  (CIK 0000029915),10-K,2011-02-18,0001193125-11-040023,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",70206000000,Assets,,,curated:Sadara JV (Dow/Aramco)
joint_venture,1163165,CONOCOPHILLIPS  (COP)  (CIK 0001163165),10-K,2011-02-23,0000950123-11-016957,2911,Petroleum Refining,162881000000,Assets,,,curated:Australia Pacific LNG JV
joint_venture,4281,"ALCOA INC  (HWM, HWM-P)  (CIK 0000004281)",8-K,2009-10-13,0001193125-09-206864,3350,Rolling Drawing & Extruding of  Nonferrous Metals,41466000000,Assets,,,curated:Maaden aluminum JV
joint_venture,37996,"FORD MOTOR CO  (F, F-PB, F-PC, F-PD)  (CIK 0000037996)",8-K,2012-03-15,0000037996-12-000015,3711,Motor Vehicles & Passenger Car Bodies,210945000000,Assets,,,curated:Ford China JV
joint_venture,1166691,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",10-K,2011-02-25,0001193125-11-047243,4841,Cable & Other Pay Television Services,164971000000,Assets,,,curated:NBCUniversal JV
joint_venture,101778,MARATHON OIL CORP  (MRO)  (CIK 0000101778),8-K,2011-05-26,0001193125-11-151791,1311,Crude Petroleum & Natural Gas,73621000000,Revenues,,,curated:Marathon LNG JV
joint_venture,831259,FREEPORT-MCMORAN INC  (FCX)  (CIK 0000831259),8-K,2014-11-14,0001193125-14-413217,1000,Metal Mining,64009000000,Assets,,,curated:Grasberg JV
joint_venture,18230,CATERPILLAR INC  (CAT)  (CIK 0000018230),10-K,2012-02-21,0001104659-12-011331,3531,Construction Machinery & Equip,90541000000,Assets,,,curated:Caterpillar JV
joint_venture,93410,CHEVRON CORP  (CVX)  (CIK 0000093410),10-K,2009-02-26,0000891618-09-000054,2911,Petroleum Refining,273005000000,Revenues,,,curated:Gorgon LNG JV
joint_venture,732712,VERIZON COMMUNICATIONS INC  (VZ)  (CIK 0000732712),8-K,2011-07-22,0001193125-11-194187,4813,Telephone Communications (No Radiotelephone),276675000000,Assets,,,curated:Verizon Wireless JV
joint_venture,34088,EXXON MOBIL CORP  (XOM)  (CIK 0000034088),8-K,2012-04-26,0000034088-12-000017,2911,Petroleum Refining,467029000000,Revenues,,,curated:ExxonMobil upstream JV
joint_venture,24741,CORNING INC /NY  (GLW)  (CIK 0000024741),8-K,2012-01-31,0001299933-12-000243,3357,Drawing & Insulating of  Nonferrous Wire,30063000000,Assets,,,curated:Dow Corning JV
